	0
0	5_140000000_140500000
1	22_11500000_12000000
2	4_49000000_49500000
3	22_12000000_12500000
4	16_11500000_12000000
5	21_9000000_9500000
6	1_146000000_146500000
7	3_48500000_49000000
8	21_8500000_9000000
9	9_112000000_112500000
10	1_28000000_28500000
11	17_22000000_22500000
12	7_54000000_54500000
13	20_46000000_46500000
14	11_86000000_86500000
15	3_183000000_183500000
16	12_123000000_123500000
17	12_124500000_125000000
18	6_49000000_49500000
19	17_78500000_79000000
20	5_102500000_103000000
21	15_20000000_20500000
22	9_21500000_22000000
23	1_145000000_145500000
24	15_90500000_91000000
25	6_33000000_33500000
26	19_39000000_39500000
27	17_59500000_60000000
28	7_73500000_74000000
29	7_100500000_101000000
