"D_Ctrl1"	"D_Ctrl2"	"D_Ctrl3"	"D_Ctrl4"	"D_Ctrl5"	"D_Ctrl6"	"D_Ctrl7"	"D_Ctrl8"	"D_Ctrl9"	"D_Ctrl10"	"D_Ctrl11"	"D_Ctrl12"	"D_Ctrl13"	"D_Ctrl14"	"D_Ctrl15"	"D_tDEN1"	"D_tDEN2"	"D_tDEN3"	"D_tDEN4"	"D_tDEN5"	"D_tDEN6"	"D_tDEN7"	"D_tDEN8"	"D_tDEN9"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"18_17380000_17390000"	0.076344982571308	0	0	0	0.161129355730258	0	0.0364840767262149	0	0.193910264473495	0.0804812006081426	0	0	0.064081774249013	0.0266229283417473	0.0965914414138883	0.225364057783109	1.3022485544644	0.516814648710207	0.0462026404107904	0.372162218740037	0.18293915453735	0.494669409219865	0.0387982064609241	0.785122768701343	0.00114973007798147	0.00114973007796215	3.16434476834624	3.80016918863031	"upsig"	"upsig"	"upsig"	"upsig"
"15_53480000_53490000"	0	0	0	0	0.15062367110684	0	0.519936256608736	0.0370156504255653	0	0.222483118473136	0	0.0842282850574686	0	0.0529433234068838	0	0.477588366639204	0.188490194608602	0.318461108289257	0.452116990614973	0.664975469437675	0.198963022088067	0.9054965456906	2.09423127908179	0.513785246184789	0.00135695004686849	0.00135695004685121	3.1808489921156	12.2218540272944	"upsig"	"upsig"	"upsig"	"upsig"
"2_97770000_97780000"	0	0	0	0	0.102651930477014	0	0.0323624446274374	0.0372035471282331	0	0.153095817698196	0	0	0.207852631661555	0	0	0.208549103859369	0.325431965829769	0.0512511120219812	0.200417887894528	0.182035867861975	0.167249117560607	0.847117481702317	0.65956950983571	0.27662454452801	0.000411166087358897	0.000411166087330384	3.18580140992507	11.0268630089518	"upsig"	"upsig"	"upsig"	"upsig"
"7_26610000_26620000"	0	0	0	0	0.0255680517341022	0	0.0741893777779934	0	0	0.0322731631511349	0	0	0.040762618576736	0	0	0.150461081213723	0	0	0.0673840117519302	0.19603862692828	0.152894402879756	0.300590074152435	0.0871869808110654	0	0.00224553219673708	0.00224553219672607	3.19163741206335	9.76962267616094	"upsig"	"upsig"	"upsig"	"upsig"
"8_14350000_14360000"	0	0	0.0537113758436799	0	0.0303778832484383	0.109190062853576	0	0	0	0.214616534955047	0	0.118080801539896	0.141383857225616	0.104071447154103	0	1.15586430023837	0.814100605719749	0.0899828684355394	0.0615622313248333	0.761438920783336	0.26873361204848	0.526343156702869	0.605949516636904	0.0658989529285158	0.000324683657193322	0.00032468365716376	3.22982439525429	12.3620620476887	"upsig"	"upsig"	"upsig"	"upsig"
"1_46500000_46510000"	0	0.102662301807801	0	0	0.0461996974403332	0	0	0.0110859054574028	0	0.080279493338448	0.0405668883834504	0	0	0	0	0.200687566959958	0.0807071275257826	0.22143610232398	0.0880699124184234	0.0272275870733723	0.214319228490837	0.175447718900956	0.523775787222475	0.0713747971546675	0.00051874106490328	0.000518741064876038	3.24331917658872	10.7776475343603	"upsig"	"upsig"	"upsig"	"upsig"
"13_63600000_63610000"	0	0	0	0.0685721129581819	0.159483887054301	0	0.299199959763101	0.178313970831784	0	0.208968731403598	0	0	0	0.0444723916617824	0	0.890755805908236	0.223636846918217	2.02539699952516	0.236091776469079	0.168966626066756	0.264059984012854	0.133216055590284	1.51073241000374	0.0781723968836835	0.00645080092172336	0.006450800921731	3.2628740868636	11.2057430197028	"upsig"	"upsig"	"upsig"	"upsig"
"11_28510000_28520000"	0	0	0.0877059175168951	0.0266875250431843	0.0250617536799616	0.206157357477273	0.0593820328305338	0.0411493778842578	0	0	0	0	0	0.0459850580448362	0	0.696619519697787	0.664401901438055	0.783242185251956	0.0603235546382169	0.109065934505337	0	0	0	0.625379175069468	0.00393993539412603	0.00393993539412485	3.31124938911715	10.0923070146607	"upsig"	"upsig"	"upsig"	"upsig"
"9_23570000_23580000"	0	0	0	0	0	0	0	0	0	0.151482159540639	0.295971155696485	0	0.261651943566887	0.0996847146432468	0	0.975704079626869	0.452740950862374	0.343891049368866	0.0458310374048055	0	0.0547482141316157	0.63937496144614	1.24437618362593	1.0895041787895	0.000869576101497458	0.000869576101474978	3.31756851300385	12.144788713094	"upsig"	"upsig"	"upsig"	"upsig"
"11_13580000_13590000"	0	0	0	0.00407726077048649	0	0	0.168834263009178	0	0	0.275733837672509	0	0	0	0	0	0.988151513050936	0.334544060873002	0.112674200475806	0.108012607072947	0.47718291173733	0.342843999470545	0	0.456423844545927	0	0.00274609354543055	0.00274609354542277	3.38457291812448	11.7084116948263	"upsig"	"upsig"	"upsig"	"upsig"
