"A_Ctrl1"	"A_Ctrl2"	"A_Ctrl3"	"A_Ctrl4"	"A_Ctrl5"	"A_Ctrl6"	"A_Ctrl7"	"A_Ctrl8"	"A_Ctrl9"	"A_Ctrl10"	"A_Ctrl11"	"A_Ctrl12"	"A_Ctrl13"	"A_Ctrl14"	"A_Ctrl15"	"A_Ctrl16"	"A_Ctrl17"	"A_Ctrl18"	"A_Apc1"	"A_Apc2"	"A_Apc3"	"A_Apc4"	"A_Apc5"	"A_Apc6"	"A_Apc7"	"A_Apc8"	"A_Apc9"	"A_Apc10"	"A_Apc11"	"A_Apc12"	"A_Apc13"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"12_18320000_18330000"	0	0	0.0774990093577044	0.192265184603336	0.0217814504866475	0	0.038640059553313	0	0	0	0.122069941193506	0	0.367703846973011	0.346371330492561	0	0	0	0.0964976322238128	0.530728361203873	0	1.56321300281112	2.36460101752131	1.00603839688038	0.603524838424354	0.612953846947227	0.0733040195904076	0.0401155084298886	0	0	0	0.620257300309072	0.0068714283496362	0.00687142834966126	3.02142000097286	12.3740297380287	"upsig"	"upsig"	"upsig"	"upsig"
"4_38010000_38020000"	0	0.0838332414311424	0	0	0	0.261730599841309	0	0	0	0	0	0.18293148411688	0.513686161720954	0	0	0.0285003697796712	0	0	0.607598661912928	0.0725410135640814	0.73440336539002	0	0.022016645767595	1.1885502641947	0	0.881366298044041	1.06396893757462	0	1.40473403261237	0.0916071952560981	0.345555685938835	0.00179157704539789	0.00179157704537503	3.04967589083135	11.7551199424301	"upsig"	"upsig"	"upsig"	"upsig"
"5_40390000_40400000"	0	0.346618209763377	0.309675793590496	0.145821379461813	0.0216502369294991	0	0.130366687411853	0	0.11761497836	0	0	0	0.161532313380415	0.136196930518999	0	0	0	0	0.697939225596701	0.331100061910745	1.88991231012371	0	0.57090385622361	0.671158691087407	0.177963483995774	0	1.42038615033235	1.99185608159264	0.0712017860805046	0	0.592597689482827	0.00184281707193309	0.00184281707191125	3.087155196452	12.4792847733954	"upsig"	"upsig"	"upsig"	"upsig"
"11_57070000_57080000"	0	0.181853646796786	0.0582843789384388	0	0	0	0.129148307155668	0	0.1405212662803	0.240804296879551	0	0	0.477760302811451	0.291174013327787	0	0.0800896467226202	0	0	0.525160652507657	0.332454562164016	1.53015591702106	0.592672529713495	0.272914671494147	0.498892160453285	1.02754075313483	0.896256177023343	0	0	0.365016385268129	3.12939494980789	0.696037055997413	0.00196949953901248	0.00196949953899284	3.09284713075141	12.3588178003212	"upsig"	"upsig"	"upsig"	"upsig"
"15_22160000_22170000"	0.229359427410066	0	0.0704536448706403	0.0778795684469208	0.0738732326745937	0	0	0	0.0044050553692884	0.0828847004599796	0.0930533158278367	0	0.18271248393154	0.240222643637227	0	0	0	0	0	0	1.09892474383178	0	1.34163935146282	1.09975308345546	0.338924087355008	1.41267726816123	0	0.119481494521928	0.469674432278028	0.566334313045115	0.0924513019397761	0.00192213764685954	0.00192213764683902	3.0995423128974	7.20202546616501	"upsig"	"upsig"	"upsig"	"upsig"
"10_35480000_35490000"	0	0	0	0.0638855834916148	0.219389067552257	0	0.00121838025618554	0	0	0.0930432709898936	0	0	0.0934340435071777	0.0834491984355016	0	0.0833365242924561	0	0	0.186787646582751	0.28339155298997	0	0	0.708507892271078	0.20156960027807	0	0.626090776696977	0	0.396280290164394	1.36184139039519	0	0.258030068118801	0.0069214978072738	0.00692149780729923	3.1229008537983	10.9777779128199	"upsig"	"upsig"	"upsig"	"upsig"
"12_58640000_58650000"	0	0	0	0.1588013075363	0.341942529928937	0	0.317126975252866	0	0.143384552270338	0.118670573917631	0.0807129119366899	0	0.149467659269014	0.0842657267959272	0	0.163426171015076	0	0.0616033991428805	0.851500223508482	0.472720588391659	1.87919109311072	0.883934543459682	0.416328655730286	0.341869145846066	0.535590740050975	0.390429807466878	0.215104969070555	1.18933871005369	1.57287319010368	0.911413959581857	0.725212261937424	2.22286436309141e-06	2.22286445472619e-06	3.14910203765185	3.34747519287178	"upsig"	"upsig"	"upsig"	"upsig"
"10_49490000_49500000"	0	0	0	0.106475972486025	0	0.0233688035572598	0.0699698375695127	0	0.0363417067966293	0.0487149632229964	0	0	0.216091360306414	0.0955338181698012	0	0.0425701725822936	0	0	0.256114600025964	1.03528969358364	0	0	0	0.831141611719267	0	0.620220728253214	0	0.780612430876595	0	0.0974296864800026	0.693384764548321	0.00375859448015508	0.00375859448015547	3.22091477110344	9.92969760882834	"upsig"	"upsig"	"upsig"	"upsig"
"3_96380000_96390000"	0	0	0	0	0.0333282435157137	0	0	0	0	0.0611822997824362	0	0	0.0269443941821273	0	0	0	0	0	0.134702629747176	0.0939120175601386	0.242120817543425	0	0	0.0698537821815339	0.136023045092311	0.0704405813251573	0	0	0	0.0853965379505999	0	0.00382719021865483	0.00382719021865585	3.22745368029646	9.45025825126813	"upsig"	"upsig"	"upsig"	"upsig"
"17_92270000_92280000"	0	0	0	0	0	0	0.0863309438668614	0	0	0	0.281828142919434	0	0.128019385293192	0.047685256248858	0	0	0	0	0.18714685359541	0.351718565766096	0	0	0.280406446790064	0.72443699953095	0.162377510078946	0.346619202008548	0	1.40938379579824	0	0	0.479306954728757	0.00811609037413126	0.0081160903741595	3.3225838273796	10.8707257612076	"upsig"	"upsig"	"upsig"	"upsig"
